id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_18pg(1).png,Bauhausgebäude aus der vogelschau,18,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_19pg(1).png,Bauhausgebäude aus der vogelschau,19,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_20pg(1).png,Bauhausgebäude aus der vogelschau,20,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_21pg(1).png,Bauhausgebäude lageplan der gesamtangle,21,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_22pg(1).png,Bauhausgebäude grundriß des erdgeschosses,22,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_23pg(1).png,Bauhausgebäude grundriß des 1. Stockes,23,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_24pg(1).png,Bauhausgebäude im rohbau 1926,24,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_25pg(1).png,Bauhausgebäude im rohbau 1926,25,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_26pg(1).png,Bauhausgebäude westansicht,26,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_27pg(1).png,Bauhausgebäude nordansicht,27,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_28pg(1).png,Bauhausgebäude ostansicht mit schnitt durch die aula,28,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_29pg(1).png,Bauhausgebäude ostansicht,29,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_30pg(1).png,Bauhausgebäude verbindungsgang des ersten stocks in der brücke,30,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_31pg(1).png,"Bauhausgebäudebrücke zwuschen dem hauptgebäude und dem gebäude der technishce lehranstalten am tage der einweihung; rechts weiße, gelbe, rote und blaue flaggen erster stocke: verwaltungsraume",31,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_32pg(1).png,Bauhausgebäude ostwestansicht,32,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_33pg(1).png,Bauhausgebäude nordansicht gegen atelierhaus,33,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_34pg(1).png,Bauhausgebäude nordwestansicht gegen die brücke,34,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_35pg(1).png,Bauhausgebäude südostansicht,35,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_36pg(1).png,Bauhausgebäude nordansicht der technischen lehranstalten,36,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_37pg(1).png,Bauhausgebäude nordwestansicht der technischen lehranstalten,37,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_38pg(1).png,Bauhausgebäude südansicht,38,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_39pg(1).png,Bauhausgebäude südansicht,39,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_40pg(1).png,Bauhausgebäude ostansicht des atelierhauses,40,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_41pg(1).png,Bauhausgebäude ostansicht,41,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_42pg(1).png,Bauhausgebäude südansicht des atelierhauses,42,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_43pg(1).png,Bauhausgebäude südostansicht des atelierhauses,43,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_44pg(1).png,Bauhausgebäude balkons des atelierhauses,44,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_45pg(1).png,Bauhausgebäude einzelbalkons des atelierhauses,45,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_46pg(1).png,Bauhausgebäude eingang zum hauptbau und querglasfront des werkstattbaues,46,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_47pg(1).png,"Bauhausgebäude blick vom brückenbau gegen atelierhaus, speisesaal und bühne",47,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_48pg(1).png,Bauhausgebäude nordwestansicht,48,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_49pg(1).png,"Bauhausgebäude nordwestecke des werkstattbaues, links eingang zu den technischen lehranstalten",49,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_50pg(1).png,Bauhausgebäude haupteingang,50,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_51pg(1).png,Bauhausgebäude teilansicht des werkstattbaus,51,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_52pg(1).png,"Bauhausgebäude nebeneingang des haupttreppenhauses vom hof aus. Links werkstattbau, rechts aula",52,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_53pg(1).png,Bauhausgebäude blick vom haupttreppenhausfenster mit ungeteilter spiegelglasscheibe auf den werkstattbau,53,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_54pg(1).png,Bauhausgebäude ecke des haupttreppenhauses mit dem werkstattbau,54,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_55pg(1).png,Bauhausgebäude blick vom podest des haupttreppenhauses im bau der technischen lehranstalten,55,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_56pg(1).png,Bauhausgebäude dachgarten auf dem atelierhaus.,56,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_57pg(1).png,Bauhausgebäude blick auf die terrasse vor dem speisesaal,57,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_58pg(1).png,Bauhausgebäude leben im bauhaus,58,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_58pg(2).png,Bauhausgebäude leben im bauhaus,58,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_58pg(3).png,Bauhausgebäude leben im bauhaus,58,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_59pg(1).png,Bauhausgebäude leben im bauhaus,59,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_59pg(2).png,Bauhausgebäude leben im bauhaus,59,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_59pg(3).png,Bauhausgebäude leben im bauhaus,59,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_59pg(4).png,Bauhausgebäude leben im bauhaus,59,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_60pg(1).png,Bauhausgebäude nordostansicht bei nacht,60,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_61pg(1).png,Bauhausgebäude nordwestansicht bei nacht,61,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_62pg(1).png,Bauhausgebäude eisernes fenster eines werkstattraumes.,62,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_63pg(1).png,Bauhausgebäude fenster der badeanstalt im sockelgeschoß,63,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_63pg(2).png,Bauhausgebäude eisernes fenster der aula und des speisesaals,63,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_64pg(1).png,Bauhausgebäude flur und treppenhaus der technischen lehranstalten,64,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_65pg(1).png,Bauhausgebäude haupttreppenhaus,65,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_66pg(1).png,Bauhausgebäude eingangsvestilbül mit den drei türen zur aula beleuchtungskörper und farbige gestaltung,66,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_67pg(1).png,Bauhausgebäude aula,67,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_68pg(1).png,Bauhausgebäude lehrerzimmer der technischen lehranstalten mit kleiderschränken für die lehrer und schränken für aufbewahrung von zeichnungen,68,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_69pg(1).png,Bauhausgebäude arbeitzimmer des direktors,69,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_70pg(1).png,"Bauhausgebäude webrei-werkstatt, webstühl und spulmaschine",70,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_71pg(1).png,Bauhausgebäude metallwerkstatt,71,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_71pg(2).png,"Bauhausgebäude metallwerkstatt, drückbank und scheifmachine",71,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_72pg(1).png,"Bauhausgebäude metallwerkstatt, arbeitsplätze",72,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_73pg(1).png,"Bauhausgebäude metallwerkstatt, im vordergrund drückbank-futter und teile für beleuchtungskörper",73,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_74pg(1).png,Bauhausgebäude tischlereiwerkstatt,74,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_75pg(1).png,Bauhausgebäude wandmalerei-werkstatt,75,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_76pg(1).png,Bauhausgebäude werk-und-zeichensaal der vorlehre,76,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_77pg(1).png,Bauhausgebäude zeichensaal,77,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_78pg(1).png,Bauhausgebäude speiseausgabe im speisesaal,78,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
,/Users/ohyoungmo/Bauhausorbits/12_Bauhausbauten Dessau/12_Bauhausbauten Dessau_79pg(1).png,Bauhausgebäude speisesaal,79,,bauhausgebäude dessau,Gropius Bauhausbauten Dessau,"Walter Gropius, Moholy-Nagy"
